,area,local_price,latitud,longitud,tipology,n_rooms,n_baths,has_garage,has_pool,has_elevator,is_exterior,cluster
181,95,1400,40.4820823669434,-3.72012066841125,Piso,4.0,1.0,t,f,t,t,0
182,90,3240,40.4316596984863,-3.70080971717834,Piso,1.0,1.0,f,f,t,t,5
183,57,2410,40.4441032409668,-3.67746186256409,Piso,1.0,1.0,f,f,t,t,4
184,54,1890,40.4097785949707,-3.70850253105164,Piso,1.0,1.0,f,f,t,t,4
185,95,2715,40.4302406311035,-3.70453453063965,Piso,1.0,1.0,f,f,t,t,5
186,85,1450,40.4147987365723,-3.69366502761841,Piso,1.0,1.0,f,f,t,t,0
187,56,950,40.4063720703125,-3.60739398002625,Piso,1.0,1.0,f,f,t,t,0
188,120,3600,40.4131813049316,-3.69914054870605,Piso,1.0,1.0,f,f,t,t,5
189,329,4995,40.4513468,-3.6905184,Piso,1.0,1.0,t,t,t,t,1
190,45,925,40.4619285,-3.6953831,Piso,1.0,1.0,t,t,t,t,0
191,43,1000,40.4608612060547,-3.70459270477295,Piso,0.0,1.0,t,t,t,t,0
192,202,7500,40.426139831543,-3.68543982505798,Piso,4.0,1.0,f,f,t,t,1
193,90,1300,40.3843307495117,-3.66639184951782,Piso,1.0,1.0,f,f,f,t,0
194,55,1597,40.4160423278809,-3.69549036026001,Piso,1.0,1.0,f,t,t,f,0
195,50,2565,40.4416427612305,-3.67998838424683,Piso,1.0,1.0,f,f,t,t,4
196,67,1450,40.4258460998535,-3.70459699630737,Piso,1.0,1.0,f,f,t,t,0
197,321,6250,40.4248199462891,-3.68754267692566,Piso,5.0,4.0,t,f,t,t,1
198,64,1475,40.3336944580078,-3.70178842544556,Piso,1.0,1.0,t,t,t,t,0
199,106,1250,40.4789123535156,-3.71725749969482,Piso,1.0,1.0,f,f,t,t,0
200,28,750,40.4306678771973,-3.67199158668518,Piso,1.0,1.0,t,t,t,t,0
201,50,1000,40.474422454834,-3.6865291595459,Piso,1.0,1.0,f,f,f,t,0
202,180,3900,40.4257926940918,-3.68248105049133,Piso,1.0,1.0,f,f,t,t,1
203,63,900,40.3941535949707,-3.66938328742981,Piso,1.0,1.0,t,f,t,t,0
204,100,1400,40.3918380737305,-3.68006992340088,Piso,1.0,1.0,t,t,t,t,0
205,85,1000,40.3449745178223,-3.71519660949707,Piso,1.0,1.0,f,f,f,t,0
206,200,4100,40.4261779785156,-3.68365216255188,Piso,4.0,1.0,f,f,t,t,1
207,168,7000,40.4272956848145,-3.68451356887817,Piso,1.0,1.0,t,t,t,t,1
208,150,2600,40.496208190918,-3.70192265510559,Piso,1.0,1.0,t,f,t,t,4
209,162,2700,40.4091415405273,-3.69700121879578,Piso,1.0,1.0,f,f,t,t,5
210,90,3600,40.4280700683594,-3.70594787597656,Piso,1.0,1.0,f,f,t,t,5
211,180,2850,40.4253692626953,-3.69500517845154,Piso,1.0,1.0,f,f,t,t,5
212,73,2000,40.4351921081543,-3.70082569122314,Piso,1.0,1.0,f,f,t,t,4
213,45,890,40.42702,-3.63773,Piso,1.0,1.0,t,t,t,t,0
214,230,4800,40.4419860839844,-3.66460776329041,Piso,4.0,1.0,t,f,t,t,1
215,40,1000,40.4050979614258,-3.6928243637085,Piso,1.0,1.0,f,f,t,t,0
216,122,2233,40.4622421264648,-3.68792271614075,Piso,1.0,1.0,f,f,t,t,4
217,90,1525,40.4278030395508,-3.66171193122864,Piso,1.0,1.0,f,f,t,t,0
218,81,1150,40.3663635253906,-3.59785985946655,Piso,1.0,1.0,t,t,t,t,0
219,85,2500,40.4114723205566,-3.70964932441711,Piso,1.0,1.0,f,f,t,t,4
220,367,7000,40.4274406433105,-3.68203902244568,Piso,5.0,6.0,t,f,t,t,1
221,96,950,40.4095741,-3.6489986,Piso,1.0,1.0,f,f,t,t,0
222,55,840,40.4712751,-3.7230706,Piso,1.0,1.0,t,f,t,t,0
223,64,3200,40.4426765441895,-3.71468830108643,Piso,1.0,1.0,f,t,t,t,5
224,65,750,40.3462104797363,-3.6777286529541,Piso,1.0,1.0,t,t,t,t,0
225,38,875,40.4377746582031,-3.69905519485474,Piso,1.0,1.0,f,f,t,t,0
226,80,2950,40.4260749816895,-3.67732954025269,Piso,1.0,1.0,f,f,t,t,5
227,124,2700,40.4545211791992,-3.67707109451294,Piso,1.0,1.0,t,f,t,t,5
228,50,800,40.5086822509766,-3.69253706932068,Piso,1.0,1.0,t,t,t,t,0
229,102,2565,40.4087371826172,-3.69318175315857,Piso,1.0,1.0,f,f,t,t,4
230,110,1350,40.4580815,-3.6476731,Piso,1.0,1.0,f,f,t,t,0
231,90,1500,40.4634108,-3.6806581,Piso,1.0,1.0,t,t,t,t,0
232,60,1100,40.4759692,-3.6848912,Piso,1.0,1.0,f,f,t,t,0
233,39,1100,40.4298400878906,-3.6860044002533,Piso,1.0,1.0,f,f,t,f,0
234,120,3350,40.4250526428223,-3.70400762557983,Piso,1.0,1.0,f,f,t,f,5
235,170,3600,40.4330062866211,-3.68573546409607,Piso,1.0,1.0,t,f,t,t,5
236,53,1000,40.3979797363281,-3.70278120040894,Piso,1.0,1.0,t,f,t,t,0
237,70,1700,40.4355888366699,-3.71456122398376,Piso,1.0,1.0,f,f,t,t,4
238,145,1950,40.4133720397949,-3.71534276008606,Piso,1.0,1.0,f,f,t,t,4
239,120,2620,40.4170570373535,-3.70907831192017,Piso,1.0,1.0,f,f,f,t,4
240,100,1800,40.4534721374512,-3.69892835617065,Piso,1.0,1.0,t,f,t,t,4
241,112,2200,40.4060440063477,-3.69595909118652,Piso,1.0,1.0,f,f,t,t,4
242,75,1450,40.4088020324707,-3.70129084587097,Piso,1.0,1.0,f,f,f,f,0
243,74,3450,40.4144630432129,-3.68962216377258,Piso,1.0,1.0,f,f,t,t,5
244,268,6950,40.4329643249512,-3.68357157707214,Piso,5.0,5.0,t,f,t,t,1
245,39,750,40.4408531188965,-3.67523050308228,Piso,0.0,1.0,f,f,f,t,0
246,95,2482,40.4264068603516,-3.70496487617493,Piso,1.0,1.0,f,f,f,t,4
247,156,4050,40.4168472290039,-3.71128582954407,Piso,1.0,1.0,f,f,t,t,1
248,60,2850,40.4326667785645,-3.69330668449402,Piso,1.0,1.0,f,f,t,t,5
249,59,825,40.4616966247559,-3.66263175010681,Piso,1.0,1.0,f,t,t,t,0
250,81,3300,40.4334983825684,-3.67723155021667,Piso,1.0,1.0,f,f,t,t,5
251,55,2010,40.4151077270508,-3.70219278335571,Piso,1.0,1.0,f,f,t,t,4
252,139,2300,40.4323310852051,-3.66529893875122,Piso,1.0,1.0,t,f,t,t,4
253,74,2410,40.4257049560547,-3.71344542503357,Piso,1.0,1.0,f,f,t,t,4
254,60,1800,40.4209327697754,-3.70391058921814,Piso,1.0,1.0,f,f,t,t,4
255,180,2900,40.4404792785645,-3.67825651168823,Piso,4.0,1.0,t,f,t,t,5
256,91,1400,40.424388885498,-3.67135405540466,Piso,1.0,1.0,t,t,f,f,0
257,50,700,40.4384917,-3.635067,Piso,1.0,1.0,f,f,f,t,0
258,600,8000,40.4538041,-3.6486923,Chalet,5.0,5.0,f,t,f,f,1
259,50,1450,40.4253234863281,-3.70605158805847,Piso,1.0,1.0,f,f,t,t,0
260,54,980,40.4139374,-3.7006755,Piso,1.0,1.0,f,f,t,f,0
261,61,2400,40.4342269897461,-3.70476198196411,Piso,1.0,1.0,f,f,t,t,4
262,41,2570,40.4553184509277,-3.67952823638916,Piso,1.0,1.0,f,f,t,t,4
263,93,3200,40.4332809448242,-3.68141531944275,Piso,1.0,1.0,t,f,t,t,5
264,45,1000,40.4301605224609,-3.67217493057251,Piso,0.0,1.0,f,f,t,t,0
265,65,2500,40.4308471679688,-3.70528841018677,Piso,1.0,1.0,f,f,t,f,4
266,110,1700,40.4404296875,-3.62356901168823,Piso,0.0,1.0,t,f,t,t,4
267,52,850,40.4258575439453,-3.66571068763733,Piso,1.0,1.0,f,f,f,f,0
268,108,1200,40.3657989501953,-3.69933247566223,Piso,4.0,1.0,f,f,t,t,0
269,67,1200,40.4628601074219,-3.64985799789429,Piso,1.0,1.0,f,f,t,t,0
270,91,1350,40.4027786254883,-3.70883369445801,Piso,1.0,1.0,f,t,t,t,0
271,58,925,40.3661308288574,-3.59970736503601,Piso,1.0,1.0,t,f,t,t,0
272,90,1134,40.4852523803711,-3.61624503135681,Piso,1.0,1.0,t,t,t,t,0
273,334,6500,40.4347610473633,-3.68013739585876,Piso,4.0,5.0,t,f,t,t,1
274,100,1000,40.4877863,-3.6660504,Piso,1.0,1.0,f,f,t,t,0
275,73,1500,40.4375190734863,-3.66298127174377,Piso,1.0,1.0,f,f,t,t,0
276,94,3240,40.4232902526855,-3.67692518234253,Piso,1.0,1.0,f,f,t,t,5
277,120,5700,40.4229431152344,-3.69050121307373,Piso,1.0,1.0,f,f,t,t,1
278,130,2075,40.3980140686035,-3.69330477714539,Piso,1.0,1.0,f,f,t,f,4
279,55,1000,40.4017372131348,-3.69319248199463,Piso,1.0,1.0,f,f,t,t,0
280,120,2950,40.4227447509766,-3.66485214233398,Piso,1.0,1.0,t,f,t,f,5
281,90,1400,40.4186592102051,-3.70725011825562,Piso,1.0,1.0,f,f,t,t,0
282,35,850,40.3976669311523,-3.67214918136597,Piso,1.0,1.0,t,t,t,t,0
283,43,1300,40.4348754882812,-3.70021557807922,Piso,1.0,1.0,f,f,t,t,0
284,96,1900,40.458438873291,-3.68660855293274,Piso,1.0,1.0,f,f,t,t,4
285,85,1150,40.4108848571777,-3.65477299690247,Piso,1.0,1.0,t,t,t,t,0
286,157,3900,40.4288330078125,-3.71558666229248,Piso,1.0,1.0,t,f,t,t,1
287,320,9000,40.4303855895996,-3.6836576461792,Piso,5.0,5.0,t,f,t,t,1
288,64,2700,40.4605026245117,-3.6947546005249,Piso,1.0,1.0,f,f,t,t,5
289,90,1950,40.4285469055176,-3.70079493522644,Piso,1.0,1.0,f,f,t,f,4
290,42,2369,40.4272537231445,-3.67802405357361,Piso,1.0,1.0,f,f,t,f,4
291,53,1220,40.4107971191406,-3.69962525367737,Piso,1.0,1.0,f,f,t,t,0
292,145,3500,40.4399070739746,-3.69472670555115,Piso,1.0,1.0,f,f,t,t,5
293,245,2800,40.4291687011719,-3.70734071731567,Piso,4.0,1.0,t,f,t,t,5
294,75,2200,40.427604675293,-3.70699310302734,Piso,1.0,1.0,f,f,f,f,4
295,176,3500,40.4342918395996,-3.68545961380005,Piso,1.0,1.0,f,f,t,t,5
296,60,1290,40.42333984375,-3.69605541229248,Piso,1.0,1.0,f,f,t,t,0
297,145,3850,40.4336547851562,-3.69617438316345,Piso,1.0,1.0,f,f,t,t,1
298,62,790,40.4442511,-3.7036123,Piso,1.0,1.0,t,t,t,f,0
299,195,2500,40.4862327575684,-3.72232818603516,Chalet,1.0,4.0,t,f,f,t,4
300,173,2768,40.4632263183594,-3.68825507164001,Piso,4.0,1.0,f,f,t,t,5
301,70,3150,40.4218826293945,-3.68807744979858,Piso,1.0,1.0,f,f,t,t,5
302,58,960,40.3998565673828,-3.6440372467041,Piso,1.0,1.0,f,f,f,f,0
